acquisition_id,image_id,image_number,crop_number,acquisition_mcd_acid,site_mcd_panoramaid,slideac_name
139,845,1662,1,19,1,20190609_p165_slide40_ac1_vz
139,846,1663,10,19,1,20190609_p165_slide40_ac1_vz
140,874,431,3,4,2,20190517_p165_slide43_ac1_vz
142,878,435,2,8,2,20190517_p165_slide43_ac1_vz
145,884,2201,1,31,3,20190617_p161_slide35_ac1_vz
146,885,2202,1,32,3,20190617_p161_slide35_ac1_vz
148,887,2204,1,35,3,20190617_p161_slide35_ac1_vz
151,893,2210,1,2,1,20190617_p161_slide44_ac1_vz
161,903,2220,1,12,1,20190617_p165_slide56_ac1_vz
132,919,196,16,3,1,20190515_p165_slide30_ac1_vz
169,955,1792,34,8,3,20190609_p165_slide40_ac1_vz
169,956,1793,35,8,3,20190609_p165_slide40_ac1_vz
173,969,2166,1,14,2,20190617_p161_slide35_ac1_vz
174,970,2167,1,15,2,20190617_p161_slide35_ac1_vz
183,983,2180,2,9,2,20190617_p161_slide35_ac1_vz
132,1000,217,35,3,1,20190515_p165_slide30_ac1_vz
184,1023,1180,35,21,2,20190525_p165_slide45_ac1_vz
161,1024,2221,2,12,1,20190617_p165_slide56_ac1_vz
185,1026,2223,1,13,1,20190617_p165_slide56_ac1_vz
186,1027,2224,1,14,1,20190617_p165_slide56_ac1_vz
187,1031,2228,13,19,1,20190617_p165_slide56_ac1_vz
187,1035,2232,17,19,1,20190617_p165_slide56_ac1_vz
187,1041,2238,22,19,1,20190617_p165_slide56_ac1_vz
188,1048,985,16,1,1,20190523_p165_slide9_ac1_vz
190,1065,2262,1,12,1,20190618_p161_slide14_ac2_vz
195,1070,2267,1,19,1,20190618_p161_slide14_ac2_vz
198,1074,2271,2,22,1,20190618_p161_slide14_ac2_vz
200,1080,2277,12,29,1,20190618_p161_slide14_ac2_vz
201,1086,1603,16,15,3,20190607_p165_slide46_ac1_vz
201,1090,1607,2,15,3,20190607_p165_slide46_ac1_vz
201,1095,1612,24,15,3,20190607_p165_slide46_ac1_vz
61,1104,1301,7,3,1,20190606_p165_slide27_ac1_vz
202,1108,1305,10,6,1,20190607_p161_slide26_ac1_vz
202,1117,1314,19,6,1,20190607_p161_slide26_ac1_vz
46,1124,61,11,3,1,20190514_p161_slide20_ac1_vz
46,1128,65,15,3,1,20190514_p161_slide20_ac1_vz
46,1132,69,19,3,1,20190514_p161_slide20_ac1_vz
46,1138,75,24,3,1,20190514_p161_slide20_ac1_vz
46,1141,78,27,3,1,20190514_p161_slide20_ac1_vz
46,1142,79,28,3,1,20190514_p161_slide20_ac1_vz
123,1156,813,9,4,2,20190522_p165_slide18_ac1_vz
204,1159,816,1,11,2,20190522_p165_slide71_ac1_vz
206,1171,848,17,3,2,20190523_p161_slide11_ac1_vz
206,1175,852,20,3,2,20190523_p161_slide11_ac1_vz
206,1177,854,22,3,2,20190523_p161_slide11_ac1_vz
206,1180,857,25,3,2,20190523_p161_slide11_ac1_vz
207,1184,1421,1,44,2,20190607_p165_slide41_ac1_vz
208,1185,1422,1,45,2,20190607_p165_slide41_ac1_vz
